TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TXRX4;1,68;;-0,16;-0,02;0,04;19,79;2,57;-37,23;2,36;113,09;106,73;;0,06;-0,04;-0,07;0,27;-12,15;-25,96;-7,59;-2,14;3,14;0,70;2,30;;261,75;-84,66;-10,29;0,00;19.245.396,98
UCAS3;1,37;13,26;21,44;0,49;0,23;35,73;-2,08;1,90;-19,55;-32,04;-12,49;0,31;0,41;3,13;-0,34;1,30;2,26;1,08;-3,01;0,48;0,52;0,57;8,69;-25,16;34.308,81;2,82;0,06;-0,30;90.538.318,68
UGPA3;16,61;4,22;8,18;1,22;0,49;7,16;3,51;1,66;3,87;6,44;2,57;0,81;0,14;2,95;-0,80;1,76;14,90;6,00;10,55;0,40;0,58;3,61;8,37;43,39;69.979.083,14;13,62;2,03;-0,62;18.528.574.293,02
UNIP3;48,98;9,35;8,52;2,09;0,76;27,93;13,55;11,55;7,26;9,13;1,27;0,37;0,98;3,50;-1,25;2,24;24,57;8,94;9,15;0,36;0,63;0,77;12,24;30,27;140.545,62;23,41;5,75;0,85;6.001.988.354,28
UNIP5;54,81;5,00;9,53;2,34;0,85;27,93;13,55;11,55;8,13;9,13;1,27;0,37;1,10;3,92;-1,40;2,24;24,57;8,94;9,15;0,36;0,63;0,77;12,24;30,27;12.799,75;23,41;5,75;0,95;6.001.988.354,28
UNIP6;55,17;9,13;9,59;2,36;0,86;27,93;13,55;11,55;8,18;9,13;1,27;0,37;1,11;3,94;-1,41;2,24;24,57;8,94;9,15;0,36;0,63;0,77;12,24;30,27;5.459.393,38;23,41;5,75;0,96;6.001.988.354,28
USIM3;4,27;;14,23;0,22;0,13;8,21;3,61;1,40;5,53;6,44;0,96;0,04;0,20;0,39;-0,24;4,16;1,55;0,93;2,18;0,60;0,33;0,66;11,59;12,02;1.383.088,38;19,37;0,30;-1,08;5.301.344.133,00
USIM5;4,18;;13,93;0,22;0,13;8,21;3,61;1,40;5,41;6,44;0,96;0,04;0,20;0,38;-0,23;4,16;1,55;0,93;2,18;0,60;0,33;0,66;11,59;12,02;45.816.583,76;19,37;0,30;-1,05;5.301.344.133,00
USIM6;8,00;;26,65;0,41;0,25;8,21;3,61;1,40;10,35;6,44;0,96;0,04;0,37;0,73;-0,44;4,16;1,55;0,93;2,18;0,60;0,33;0,66;11,59;12,02;800,00;19,37;0,30;-2,02;5.301.344.133,00
VALE3;55,81;8,52;8,05;1,25;0,53;35,45;25,35;14,88;4,72;6,03;1,31;0,35;1,20;30,35;-0,64;1,11;15,57;6,57;14,22;0,42;0,56;0,44;7,33;;977.674.078,62;44,52;6,93;-0,43;253.322.013.039,80
VAMO3;3,99;6,72;14,11;1,73;0,19;68,12;59,59;7,10;1,68;6,32;4,64;4,78;1,00;1,58;-0,26;1,86;12,29;1,36;11,69;0,11;0,89;0,19;31,14;16,62;42.396.431,86;2,30;0,28;-0,29;4.313.319.822,63
VBBR3;20,93;6,28;3,78;1,14;0,38;4,77;4,93;3,49;2,68;5,07;2,39;1,02;0,13;1,86;-0,65;1,94;30,13;9,95;10,05;0,33;0,66;2,85;12,65;22,87;184.528.087,67;18,37;5,53;0,29;23.420.670.000,00
VITT3;4,96;6,63;10,24;1,19;0,76;32,86;10,85;9,07;8,56;11,43;2,87;0,40;0,93;1,92;-2,05;2,67;11,59;7,39;7,15;0,64;0,36;0,81;12,74;5,86;649.012,24;4,18;0,48;-0,69;745.557.529,28
VIVA3;25,25;2,61;8,14;2,28;1,41;70,11;27,44;27,44;8,14;8,54;0,40;0,11;2,23;3,14;-3,77;3,54;28,05;17,33;21,78;0,62;0,38;0,63;28,01;23,21;57.837.264,29;11,06;3,10;0,08;5.963.993.667,25
VIVR3;0,82;;-0,71;0,21;0,11;29,89;-34,81;-39,35;-0,80;-0,83;-0,03;0,01;0,28;0,64;-0,20;1,71;-30,01;-15,91;-23,84;0,53;0,47;0,40;;;19.856,38;3,85;-1,16;0,02;31.460.187,24
VIVT3;30,76;3,25;17,38;1,46;0,78;43,78;15,43;10,07;11,35;12,76;1,41;0,18;1,75;-103,35;-0,98;0,96;8,39;4,51;7,49;0,54;0,46;0,45;4,76;2,69;147.810.954,67;21,10;1,77;1,43;99.248.574.092,72
VIVT4;45,34;;25,62;2,15;1,16;43,78;15,43;10,07;16,72;12,76;1,41;0,18;2,58;-152,33;-1,45;0,96;8,39;4,51;7,49;0,54;0,46;0,45;4,76;2,69;;21,10;1,77;2,10;99.248.574.092,72
VLID3;22,20;12,19;5,93;1,04;0,62;35,02;17,65;14,01;4,70;4,59;-0,12;-0,03;0,83;1,85;-1,27;2,83;17,51;10,39;14,12;0,59;0,40;0,74;1,58;41,37;4.562.523,19;21,39;3,74;3,76;1.816.767.525,00
VSPT3;5,00;;12,96;1,31;0,28;20,26;10,65;3,62;4,40;5,20;0,80;0,24;0,47;-2,48;-0,32;0,55;10,12;2,14;19,79;0,21;0,79;0,59;10,07;;0,00;3,81;0,39;-0,11;1.780.029.215,00
VSPT4;0,00;;0,00;0,00;0,00;20,26;10,65;3,62;0,00;5,20;0,80;0,24;0,00;0,00;0,00;0,55;10,12;2,14;19,79;0,21;0,79;0,59;10,07;;;3,81;0,39;0,00;1.780.029.215,00
