TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ALUP3;10,31;2,81;9,02;1,20;0,33;71,15;71,29;26,72;3,38;6,19;2,97;1,05;2,41;2,97;-0,41;2,15;13,26;3,62;11,75;0,27;0,61;0,14;-2,71;4,88;40.121,71;8,61;1,14;0,16;9.710.807.501,82
ALUP4;9,49;3,06;8,31;1,10;0,30;71,15;71,29;26,72;3,11;6,19;2,97;1,05;2,22;2,74;-0,38;2,15;13,26;3,62;11,75;0,27;0,61;0,14;-2,71;4,88;75.708,90;8,61;1,14;0,14;9.710.807.501,82
AMAR3;1,27;;-3,95;2,27;0,32;50,10;4,91;-11,49;9,24;18,23;9,00;2,21;0,45;-1,75;-0,44;0,60;-57,47;-8,08;6,21;0,14;0,86;0,70;-13,55;;129.568,62;0,56;-0,32;0,06;652.089.174,61
AMBP3;132,53;;-98,47;16,83;1,29;19,32;17,75;-3,26;18,11;23,22;5,11;4,75;3,21;4,46;-2,31;2,88;-17,09;-1,31;8,47;0,08;0,86;0,40;67,64;;8.279.842,62;7,88;-1,35;-14,16;22.138.058.898,57
AMER3;5,24;;0,14;0,23;0,06;31,11;-5,71;53,64;-1,35;-2,58;-1,24;0,22;0,08;0,44;-0,10;1,49;163,84;42,19;-144,30;0,26;0,74;0,79;16,22;;7.321.994,81;22,35;36,62;0,00;1.049.280.242,04
AMOB3;10,93;;;;;;;;;;;;;;;;;;;;;;;;773.915,24;;;;0,00
ANIM3;3,63;14,46;12,60;0,62;0,15;61,77;22,82;3,02;1,67;6,20;4,53;1,68;0,38;1,23;-0,19;2,06;4,91;1,17;10,16;0,24;0,71;0,39;26,33;;16.541.993,14;5,87;0,29;-0,08;1.466.043.762,15
APER3;46,75;;-32,82;2,02;1,01;100,00;6,60;-8,16;40,57;43,31;2,74;0,14;2,68;115,28;-1,38;1,03;-6,15;-3,09;2,91;0,50;0,50;0,38;29,52;;51.166,00;23,16;-1,42;0,16;953.269.946,75
APTI3;197,64;;0,15;0,01;0,01;100,11;29,38;66,99;0,33;0,13;-3,23;-0,14;0,10;0,02;-0,01;5,86;9,84;4,97;2,72;0,51;0,49;0,07;-2,98;;;13.858,30;1.363,32;0,00;37.417.457,40
APTI4;2.930,92;;2,15;0,21;0,11;100,11;29,38;66,99;4,90;0,13;-3,23;-0,14;1,44;0,27;-0,20;5,86;9,84;4,97;2,72;0,51;0,49;0,07;-2,98;;0,00;13.858,30;1.363,32;-0,04;37.417.457,40
ARML3;3,89;3,68;10,35;1,07;0,29;38,06;26,49;7,16;2,80;6,43;3,63;1,38;0,74;1,65;-0,42;2,42;10,31;2,85;11,46;0,28;0,71;0,40;95,79;70,03;8.473.295,29;3,65;0,38;-0,33;1.347.862.037,33
ASAI3;9,72;1,10;15,91;2,44;0,29;16,61;5,28;1,10;3,31;6,31;3,00;2,21;0,17;16,23;-0,45;1,05;15,34;1,85;17,32;0,12;0,88;1,68;21,32;-4,63;94.313.442,67;3,98;0,61;0,87;13.143.823.198,20
AURA33;46,80;3,67;-19,10;12,66;1,55;45,53;38,00;-15,14;7,61;8,77;1,16;1,93;2,89;35,65;-2,20;1,17;-66,27;-8,14;23,69;0,12;0,88;0,54;29,10;;15.477.784,19;3,70;-2,45;0,01;10.164.752.910,00
AURE3;9,60;0,59;1.733,77;0,76;0,19;20,53;18,55;0,06;5,65;16,87;11,21;1,51;1,05;2,92;-0,24;1,45;0,04;0,01;3,69;0,25;0,72;0,18;;;26.862.091,71;12,62;0,01;-17,00;10.083.628.550,40
AVLL3;1,72;;-28,68;-3,86;0,24;38,44;22,28;-1,69;2,17;4,98;2,81;;0,48;-3,80;-0,40;0,86;-13,47;-0,84;25,06;-0,06;1,04;0,50;32,82;;5.108,05;-0,45;-0,06;0,29;335.967.704,92
AZEV3;0,53;;-1,19;0,44;0,24;2,51;-159,37;-171,21;-1,28;-1,86;-0,54;0,19;2,04;-1,53;-0,27;0,44;-36,63;-20,04;-38,72;0,55;0,45;0,12;144,07;;565.415,38;1,21;-0,44;0,00;321.974.989,35
AZEV4;0,55;;-1,24;0,45;0,25;2,51;-159,37;-171,21;-1,33;-1,86;-0,54;0,19;2,12;-1,59;-0,28;0,44;-36,63;-20,04;-38,72;0,55;0,45;0,12;144,07;;1.472.014,10;1,21;-0,44;0,00;321.974.989,35
AZTE3;0,54;;;;;;;;;;;;;;;;;;;;;;;;2.944.891,24;;;;0,00
AZUL4;0,74;;0,19;-0,08;0,09;30,81;20,11;58,76;0,55;8,30;8,13;;0,11;-0,20;-0,11;0,35;-41,81;46,55;64,17;-1,11;2,11;0,79;11,28;;13.073.531,24;-9,41;3,93;0,00;684.075.206,41
AZZA3;36,37;1,58;19,43;0,96;0,49;53,73;5,52;3,86;13,59;17,46;3,87;0,27;0,75;3,02;-0,91;1,55;4,95;2,52;2,39;0,51;0,49;0,65;37,92;18,97;63.166.547,95;37,80;1,87;-3,47;7.510.034.498,81
B3SA3;13,10;2,25;14,58;3,67;1,49;89,93;59,29;43,97;10,81;10,87;0,06;0,02;6,41;8,07;-2,29;2,13;25,18;10,22;9,90;0,41;0,59;0,23;12,34;11,76;323.765.427,57;3,57;0,90;0,79;68.991.150.000,00
BAHI3;4,51;;-1,64;1,58;0,24;55,39;-7,97;-20,31;-4,17;-5,50;-1,33;0,51;0,33;-1,12;-0,26;0,32;-96,77;-14,54;-17,71;0,15;0,79;0,72;46,22;;16.499,00;2,85;-2,76;0,00;119.021.524,82
BALM3;21,00;3,05;6,63;1,13;0,73;61,72;20,12;14,96;4,93;2,84;-1,50;-0,34;0,99;1,43;-2,72;3,30;16,99;11,02;12,65;0,65;0,36;0,74;5,42;37,76;17.079,00;18,63;3,17;0,03;181.300.000,00
BALM4;16,00;8,49;5,05;0,86;0,56;61,72;20,12;14,96;3,76;2,84;-1,50;-0,34;0,76;1,09;-2,07;3,30;16,99;11,02;12,65;0,65;0,36;0,74;5,42;37,76;9.911,00;18,63;3,17;0,02;181.300.000,00
BAUH3;0,00;;0,00;0,00;0,00;25,04;7,79;10,44;0,00;;-2,24;-0,34;0,00;0,00;0,00;1,79;20,51;14,08;12,52;0,69;0,31;1,35;6,53;-0,09;;24,98;5,12;0,00;
BAUH4;82,46;1,50;16,10;3,30;2,27;25,04;7,79;10,44;21,57;;-2,24;-0,34;1,68;9,61;-4,86;1,79;20,51;14,08;12,52;0,69;0,31;1,35;6,53;-0,09;89.561,33;24,98;5,12;0,43;
BAZA3;72,79;11,01;3,31;0,61;0,07;10,24;25,41;23,66;3,08;3,08;;;0,78;74,48;-0,07;;18,42;2,17;;0,12;0,88;0,09;26,63;34,96;457.539,48;119,36;21,99;-1,29;4.080.484.748,85
BBAS3;20,25;11,78;4,70;0,64;0,05;36,83;6,66;8,86;6,25;6,25;;;0,42;1,75;-0,05;14,03;13,57;1,02;;0,07;0,92;0,11;17,31;8,51;537.023.819,95;31,72;4,30;-0,16;116.049.389.310,00
BBDC3;13,36;8,47;7,44;0,83;0,07;32,69;8,46;8,62;7,58;8,19;;;0,64;0,91;-0,08;11,09;11,15;0,93;;0,08;0,92;0,11;11,40;-1,99;66.933.589,95;16,10;1,80;0,17;152.931.665.787,60
BBDC4;15,52;8,02;8,65;0,96;0,08;32,69;8,46;8,62;8,81;8,19;;;0,75;1,06;-0,09;11,09;11,15;0,93;;0,08;0,92;0,11;11,40;-1,99;325.337.009,90;16,10;1,80;0,20;152.931.665.787,60
BBML3;3.936,42;;-2.560,51;-7.089,59;141,45;5,41;1,44;-4,01;7.141,34;7.161,60;20,26;;102,60;-774,57;-213,54;0,65;-276,88;-5,52;-18,02;-0,02;1,02;1,38;25,94;;;-0,56;-1,54;12,66;160.451.699.191,56
BBSE3;33,56;11,06;7,76;5,76;3,62;;;;6,93;6,93;;;;14,37;-6,26;2,50;74,13;46,67;;0,63;0,37;0,00;;5,36;124.231.218,48;5,83;4,32;1,25;67.120.000.000,00
BDLL3;8,81;;-0,52;-0,06;0,03;19,03;-36,02;-63,99;-0,93;-12,10;-11,22;;0,34;-0,05;-0,05;0,46;-11,51;-5,05;52,00;-0,44;1,44;0,08;-2,75;;881,00;-145,99;-16,80;0,00;13.291.825,52
BDLL4;8,00;;-0,48;-0,05;0,02;19,03;-36,02;-63,99;-0,85;-12,10;-11,22;;0,30;-0,05;-0,04;0,46;-11,51;-5,05;52,00;-0,44;1,44;0,08;-2,75;;1.260,00;-145,99;-16,80;0,00;13.291.825,52
BEEF3;5,10;;-4,22;-7,79;0,13;20,09;7,02;-3,16;1,90;7,73;5,83;;0,13;0,68;-0,29;1,48;-184,64;-2,99;9,57;-0,02;1,00;0,95;14,75;;50.803.876,48;-0,65;-1,21;0,00;5.071.895.848,20
BEES3;8,39;6,13;5,61;1,16;0,07;32,29;14,88;10,23;3,85;3,85;;;0,57;0,35;-0,09;;20,68;1,24;;0,06;0,94;0,12;17,11;17,04;64.004,14;7,23;1,50;0,15;2.650.508.895,40
BEES4;8,39;6,13;5,61;1,16;0,07;32,29;14,88;10,23;3,85;3,85;;;0,57;0,35;-0,09;;20,68;1,24;;0,06;0,94;0,12;17,11;17,04;25.833,57;7,23;1,50;0,15;2.650.508.895,40
BFRE11;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
BFRE12;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
BGIP3;35,51;10,87;5,22;0,94;0,07;38,64;16,06;11,39;3,70;3,31;;;0,59;-5,14;-0,14;0,98;18,11;1,25;;0,07;0,93;0,11;13,57;11,90;5.300,50;37,59;6,81;0,02;684.263.980,14
BGIP4;28,00;15,17;4,11;0,74;0,05;38,64;16,06;11,39;2,92;3,31;;;0,47;-4,06;-0,11;0,98;18,11;1,25;;0,07;0,93;0,11;13,57;11,90;45.268,43;37,59;6,81;0,02;684.263.980,14
BHIA3;3,01;;-0,18;0,09;0,01;30,06;-1,82;-5,98;-0,59;-14,97;-14,38;2,15;0,01;-0,07;-0,02;0,76;-49,14;-5,11;-11,40;0,10;0,90;0,85;1,39;;9.570.147,10;34,10;-16,75;0,02;286.211.860,97
BIDI11;10,40;;-238,07;1,08;0,23;50,04;-13,62;-5,22;-91,21;-91,21;;;12,42;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;9,67;-0,04;0,13;8.991.139.764,53
BIDI3;3,40;;-233,49;1,06;0,23;50,04;-13,62;-5,22;-89,46;-91,21;;;12,19;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BIDI4;3,41;;-234,18;1,06;0,23;50,04;-13,62;-5,22;-89,72;-91,21;;;12,22;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BIOM3;7,45;;-13,16;3,76;2,11;11,61;-40,66;-49,90;-16,15;-16,19;-0,04;0,01;6,57;6,83;-4,19;2,64;-28,61;-16,03;-16,21;0,56;0,44;0,32;74,06;;178.175,19;1,98;-0,57;1,02;944.969.413,40
BLAU3;12,31;2,74;8,24;1,00;0,64;38,95;22,09;15,16;5,66;5,83;0,17;0,03;1,25;1,94;-1,24;3,23;12,18;7,81;8,87;0,64;0,36;0,52;12,41;6,01;3.745.501,52;12,27;1,49;0,65;2.208.339.389,09
BLUT3;5,14;;-5,63;0,46;0,14;;;;-6,17;-4,91;-1,59;0,12;;-0,76;-0,14;0,00;-8,24;-2,45;-6,72;0,30;0,70;0,00;;;;11,09;-0,91;0,20;14.115.600,06
BLUT4;1,52;;-1,66;0,14;0,04;;;;-1,82;-4,91;-1,59;0,12;;-0,22;-0,04;0,00;-8,24;-2,45;-6,72;0,30;0,70;0,00;;;;11,09;-0,91;0,06;14.115.600,06
BMEB3;32,05;6,31;7,05;1,77;0,12;48,47;7,21;7,52;7,35;7,97;;;0,53;0,81;-0,15;;25,07;1,76;;0,07;0,93;0,23;21,54;33,90;9.828,69;18,14;4,55;-3,12;3.640.757.057,88
BMEB4;39,13;5,69;8,60;2,16;0,15;48,47;7,21;7,52;8,98;7,97;;;0,65;0,98;-0,18;;25,07;1,76;;0,07;0,93;0,23;21,54;33,90;302.747,43;18,14;4,55;-3,81;3.640.757.057,88
BMGB4;3,51;11,45;7,14;0,47;0,04;48,14;2,02;3,17;11,20;11,20;;;0,23;-0,05;-0,04;0,01;6,53;0,57;;0,09;0,91;0,18;20,01;-5,85;1.670.794,29;7,52;0,49;-0,59;2.047.145.762,61
BMIN3;20,00;1,77;11,63;0,69;0,18;35,13;29,40;17,63;6,97;6,81;;;2,05;402,10;-0,18;;5,94;1,53;;0,26;0,74;0,09;24,69;30,09;2.000,00;28,96;1,72;2,20;94.196.035,25
BMIN4;16,75;8,36;9,74;0,58;0,15;35,13;29,40;17,63;5,84;6,81;;;1,72;336,76;-0,15;;5,94;1,53;;0,26;0,74;0,09;24,69;30,09;3.703,80;28,96;1,72;1,84;94.196.035,25
BMKS3;391,00;8,47;11,80;0,86;0,75;30,53;13,56;96,22;83,75;6,60;-77,16;-0,79;11,36;1,03;-3,22;20,54;7,29;6,35;-0,81;0,87;0,13;0,07;-0,59;41,18;16.113,60;454,30;33,13;-0,79;177.807.250,00
BMOB3;20,36;6,57;13,53;1,50;1,07;23,47;8,07;8,40;14,09;9,88;-4,21;-0,45;1,14;2,59;-3,18;2,65;11,07;7,91;6,21;0,71;0,28;0,94;57,50;28,72;6.274.749,90;13,59;1,50;0,33;1.742.986.861,12
BNBR3;92,10;6,52;4,16;0,64;0,13;43,89;47,15;25,45;2,25;2,25;;;1,06;5,59;-0,13;;15,47;3,08;;0,20;0,80;0,12;8,63;4,68;30.614,89;143,01;22,12;1,01;9.090.246.882,90
BOAS3;7,95;;15,22;1,83;1,70;56,53;19,25;32,39;25,60;18,69;-6,92;-0,50;4,93;3,34;-3,80;12,37;12,04;11,16;0,99;0,93;0,07;0,34;8,81;74,34;;4,34;0,52;1,98;4.212.250.617,75
BOBR3;1,00;;3,57;275,96;0,28;41,02;13,83;4,73;1,22;2,68;1,23;277,35;0,17;-15,43;-0,61;0,97;7.721,50;7,91;41,92;0,00;1,00;1,67;6,30;0,76;0,00;0,00;0,28;-0,11;309.667.563,80
BOBR4;1,40;;5,00;386,35;0,40;41,02;13,83;4,73;1,71;2,68;1,23;277,35;0,24;-21,60;-0,86;0,97;7.721,50;7,91;41,92;0,00;1,00;1,67;6,30;0,76;9.353,71;0,00;0,28;-0,16;309.667.563,80
BPAC11;39,25;1,15;13,36;2,40;0,25;40,18;40,87;33,57;10,97;10,97;;;4,48;-0,35;-0,25;0,01;17,94;1,84;;0,10;0,89;0,05;25,49;24,61;260.292.402,67;16,38;2,94;1,54;150.538.402.391,33
BPAC3;21,78;0,69;22,23;3,99;0,41;40,18;40,87;33,57;18,26;10,97;;;7,46;-0,58;-0,41;0,01;17,94;1,84;;0,10;0,89;0,05;25,49;24,61;52.498,95;5,46;0,98;2,56;150.538.402.391,33
BPAC5;8,66;1,74;8,84;1,59;0,16;40,18;40,87;33,57;7,26;10,97;;;2,97;-0,23;-0,16;0,01;17,94;1,84;;0,10;0,89;0,05;25,49;24,61;23.846,48;5,46;0,98;1,02;150.538.402.391,33
BPAN4;7,81;3,09;22,77;1,33;0,15;41,02;1,14;3,24;64,64;64,64;;;0,74;-205,27;-0,15;0,08;5,83;0,66;;0,11;0,89;0,21;10,77;-6,88;8.949.827,62;5,88;0,34;-0,88;9.911.437.402,90
BPAR3;117,42;6,67;3,19;0,52;0,06;53,91;15,26;10,23;2,14;2,14;;;0,33;4,53;-0,06;;16,20;1,87;;0,12;0,88;0,18;14,76;1,60;0,00;227,39;36,84;0,22;1.118.032.025,58
BPAT33;44,05;;6,98;0,66;0,09;51,56;21,77;5,61;1,80;1,80;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-18,89;;66,71;6,31;-0,11;1.533.769.021,00
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40;0,00;70.110.298,74
BRAP3;15,05;12,25;5,07;0,68;0,67;;;;5,35;5,04;-0,64;-0,08;;10,03;-0,73;5,83;13,47;13,27;12,72;0,99;0,01;0,00;;;453.282,19;22,05;2,97;-0,25;6.286.008.712,90
BRAP4;16,50;12,29;5,56;0,75;0,74;;;;5,86;5,04;-0,64;-0,08;;11,00;-0,80;5,83;13,47;13,27;12,72;0,99;0,01;0,00;;;40.033.009,62;22,05;2,97;-0,27;6.286.008.712,90
BRAV3;19,35;;57,91;0,81;0,21;27,19;27,69;1,62;3,38;8,39;5,01;1,19;0,94;4,34;-0,25;1,40;1,39;0,36;9,09;0,26;0,74;0,22;206,24;;100.221.504,52;24,02;0,33;-50,09;8.982.027.389,70
BRBI11;15,80;12,72;8,86;2,08;0,11;100,00;5,56;51,05;81,36;25,61;-55,74;-1,43;4,52;2,62;-10,24;1,04;23,53;1,21;-0,11;0,05;0,95;0,02;-5,26;19,61;2.774.466,67;7,58;1,78;0,95;1.658.932.123,20
BRBI3;0,00;;0,00;0,00;0,00;100,00;5,56;51,05;0,00;25,61;-55,74;-1,43;0,00;0,00;0,00;1,04;23,53;1,21;-0,11;0,05;0,95;0,02;-5,26;19,61;;2,53;0,59;0,00;1.658.932.123,20
BRBI4;0,00;;0,00;0,00;0,00;100,00;5,56;51,05;0,00;25,61;-55,74;-1,43;0,00;0,00;0,00;1,04;23,53;1,21;-0,11;0,05;0,95;0,02;-5,26;19,61;;2,53;0,59;0,00;1.658.932.123,20
BRFS3;20,89;3,37;9,17;2,19;0,56;26,24;11,77;6,03;4,70;5,64;0,93;0,43;0,55;3,55;-1,12;1,46;23,89;6,09;14,44;0,26;0,72;1,01;12,91;66,71;162.011.814,05;9,54;2,28;-0,01;35.146.866.108,94
BRGE11;13,18;;33,11;0,52;0,32;-4.115,33;-798,17;824,67;-34,21;21,81;56,17;-0,85;273,04;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRGE12;13,47;;33,84;0,53;0,33;-4.115,33;-798,17;824,67;-34,96;21,81;56,17;-0,85;279,05;0,87;-0,77;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,52;974.940.393,52
BRGE3;13,50;;33,91;0,53;0,33;-4.115,33;-798,17;824,67;-35,04;21,81;56,17;-0,85;279,67;0,87;-0,77;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,52;974.940.393,52
BRGE5;13,18;;33,11;0,52;0,32;-4.115,33;-798,17;824,67;-34,21;21,81;56,17;-0,85;273,04;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRGE6;12,92;;32,46;0,51;0,32;-4.115,33;-798,17;824,67;-33,53;21,81;56,17;-0,85;267,65;0,83;-0,74;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,50;974.940.393,52
BRGE7;13,07;;32,83;0,51;0,32;-4.115,33;-798,17;824,67;-33,92;21,81;56,17;-0,85;270,76;0,84;-0,74;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,50;974.940.393,52
BRGE8;13,17;;33,08;0,52;0,32;-4.115,33;-798,17;824,67;-34,18;21,81;56,17;-0,85;272,83;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRIV3;12,86;;388,74;0,67;0,04;12,70;-0,94;0,09;-37,40;-37,03;;;0,35;2,19;-0,04;4,00;0,17;0,01;;0,06;0,94;0,12;29,48;-43,98;;19,32;0,03;-3,98;1.128.165.604,64
BRIV4;12,54;;379,07;0,65;0,04;12,70;-0,94;0,09;-36,47;-37,03;;;0,34;2,14;-0,04;4,00;0,17;0,01;;0,06;0,94;0,12;29,48;-43,98;;19,32;0,03;-3,89;1.128.165.604,64
BRKM3;9,32;;-0,80;-1,75;0,08;7,72;-1,19;-11,75;-7,91;-46,25;-38,46;;0,09;0,91;-0,12;1,32;-219,00;-9,72;-15,93;-0,04;1,04;0,83;8,15;;205.174,24;-5,31;-11,64;-0,02;7.315.949.082,82
BRKM5;8,99;;-0,77;-1,69;0,08;7,72;-1,19;-11,75;-7,63;-46,25;-38,46;;0,09;0,87;-0,12;1,32;-219,00;-9,72;-15,93;-0,04;1,04;0,83;8,15;;32.914.225,62;-5,31;-11,64;-0,01;7.315.949.082,82
BRKM6;8,60;;-0,74;-1,62;0,07;7,72;-1,19;-11,75;-7,30;-46,25;-38,46;;0,09;0,84;-0,11;1,32;-219,00;-9,72;-15,93;-0,04;1,04;0,83;8,15;;6.392,20;-5,31;-11,64;-0,01;7.315.949.082,82
BRML3;8,26;;10,59;0,57;0,34;88,85;65,38;40,46;6,55;8,65;2,09;0,18;4,28;7,60;-0,37;2,06;5,42;3,21;5,92;0,59;0,40;0,08;4,55;-12,50;;14,39;0,78;-0,14;6.770.891.280,44
BRPR3;131,17;;-0,56;0,05;0,04;100,00;-336,36;-123,98;-0,21;0,06;0,27;-0,07;0,70;1,73;-0,05;1,12;-9,55;-6,86;-31,25;0,72;0,28;0,06;-7,12;;;2.447,95;-233,75;0,01;60.919.545,44
